Date,Rep,Trial ,Clam_Number,Sex,Length (siphon to foot),Width (hinge up),Consumed (1= consumed)
20-Jun-22,1,1,1,F,28,24,NA
20-Jun-22,1,2,1,F,38,31,NA
20-Jun-22,1,2,2,F,30,25,NA
20-Jun-22,1,3,1,F,40,32,NA
20-Jun-22,1,3,2,F,32,30,NA
20-Jun-22,1,3,3,F,39,31,NA
20-Jun-22,1,3,4,F,30,21,NA
20-Jun-22,1,4,1,F,36,38,NA
20-Jun-22,1,4,2,F,34,26,NA
20-Jun-22,1,4,3,F,36,28,NA
20-Jun-22,1,4,4,F,38,33,NA
20-Jun-22,1,4,5,F,40,35,NA
20-Jun-22,1,4,6,F,29,22,NA
20-Jun-22,1,5,1,F,39,31,NA
20-Jun-22,1,5,2,F,31,25,NA
20-Jun-22,1,5,3,F,37,31,NA
20-Jun-22,1,5,4,F,34,26,NA
20-Jun-22,1,5,5,F,30,24,NA
20-Jun-22,1,5,6,F,35,30,NA
20-Jun-22,1,5,7,F,26,21,NA
20-Jun-22,1,5,8,F,36,30,NA
20-Jun-22,1,5,9,F,37,31,NA
20-Jun-22,1,5,10,F,23,19,NA
20-Jun-22,1,6,1,F,35,28,NA
20-Jun-22,1,6,2,F,37,32,NA
20-Jun-22,1,6,3,F,26,23,NA
20-Jun-22,1,6,4,F,38,32,NA
20-Jun-22,1,6,5,F,35,29,NA
20-Jun-22,1,6,6,F,35,31,NA
20-Jun-22,1,6,7,F,29,24,NA
20-Jun-22,1,6,8,F,31,26,NA
20-Jun-22,1,6,9,F,26,21,NA
20-Jun-22,1,6,10,F,35,32,NA
20-Jun-22,1,6,11,F,31,25,NA
20-Jun-22,1,6,12,F,30,24,NA
20-Jun-22,1,6,13,F,32,25,NA
20-Jun-22,1,6,14,F,35,30,NA
20-Jun-22,1,6,15,F,31,26,NA
20-Jun-22,1,6,16,F,26,22,NA
22-Jun-22,2,1,1,F,36,30,1
22-Jun-22,2,2,1,F,35,29,1
22-Jun-22,2,2,2,F,28,21,1
22-Jun-22,2,3,1,F,37,29,1
22-Jun-22,2,3,2,F,39,30,0
22-Jun-22,2,3,3,F,30,23,0
22-Jun-22,2,3,4,F,33,26,0
22-Jun-22,2,4,1,F,39,33,1
22-Jun-22,2,4,2,F,29,25,1
22-Jun-22,2,4,3,F,34,26,1
22-Jun-22,2,4,4,F,40,34,1
22-Jun-22,2,4,5,F,29,24,1
22-Jun-22,2,4,6,F,30,25,1
22-Jun-22,2,5,1,F,30,25,0
22-Jun-22,2,5,2,F,37,31,0
22-Jun-22,2,5,3,F,34,29,1
22-Jun-22,2,5,4,F,38,31,0
22-Jun-22,2,5,5,F,30,25,0
22-Jun-22,2,5,6,F,35,29,0
22-Jun-22,2,5,7,F,31,26,0
22-Jun-22,2,5,8,F,32,28,1
22-Jun-22,2,5,9,F,37,31,1
22-Jun-22,2,5,10,F,31,26,1
22-Jun-22,2,6,1,F,40,31,1
22-Jun-22,2,6,2,F,34,27,1
22-Jun-22,2,6,3,F,30,24,0
22-Jun-22,2,6,4,F,39,32,1
22-Jun-22,2,6,5,F,37,30,0
22-Jun-22,2,6,6,F,29,25,0
22-Jun-22,2,6,7,F,30,24,0
22-Jun-22,2,6,8,F,29,23,0
22-Jun-22,2,6,9,F,30,25,1
22-Jun-22,2,6,10,F,37,30,0
22-Jun-22,2,6,11,F,39,31,0
22-Jun-22,2,6,12,F,31,28,0
22-Jun-22,2,6,13,F,36,30,0
22-Jun-22,2,6,14,F,35,26,0
22-Jun-22,2,6,15,F,33,29,0
22-Jun-22,2,6,16,F,33,25,0
22-Jun-22,3,1,1,F,32,28,0
22-Jun-22,3,2,1,F,36,30,1
22-Jun-22,3,2,2,F,38,32,1
22-Jun-22,3,3,1,F,38,30,0
22-Jun-22,3,3,2,F,30,24,1
22-Jun-22,3,3,3,F,34,28,1
22-Jun-22,3,3,4,F,37,30,0
22-Jun-22,3,4,1,F,30,28,1
22-Jun-22,3,4,2,F,39,31,0
22-Jun-22,3,4,3,F,37,31,1
22-Jun-22,3,4,4,F,29,23,0
22-Jun-22,3,4,5,F,35,29,1
22-Jun-22,3,4,6,F,40,33,1
22-Jun-22,3,5,1,F,30,26,1
22-Jun-22,3,5,2,F,35,27,0
22-Jun-22,3,5,3,F,40,31,0
22-Jun-22,3,5,4,F,28,22,0
22-Jun-22,3,5,5,F,30,24,0
22-Jun-22,3,5,6,F,31,25,1
22-Jun-22,3,5,7,F,34,27,0
22-Jun-22,3,5,8,F,35,26,1
22-Jun-22,3,5,9,F,36,30,1
22-Jun-22,3,5,10,F,34,27,0
22-Jun-22,3,6,1,F,38,30,0
22-Jun-22,3,6,2,F,31,25,0
22-Jun-22,3,6,3,F,36,29,0
22-Jun-22,3,6,4,F,30,26,0
22-Jun-22,3,6,5,F,36,29,0
22-Jun-22,3,6,6,F,37,30,0
22-Jun-22,3,6,7,F,39,32,1
22-Jun-22,3,6,8,F,26,21,0
22-Jun-22,3,6,9,F,35,29,0
22-Jun-22,3,6,10,F,40,32,0
22-Jun-22,3,6,11,F,25,22,1
22-Jun-22,3,6,12,F,31,25,0
22-Jun-22,3,6,13,F,34,26,0
22-Jun-22,3,6,14,F,35,31,0
22-Jun-22,3,6,15,F,37,30,0
22-Jun-22,3,6,16,F,34,27,0
23-Jun-22,4,1,1,F,34,28,1
23-Jun-22,4,2,1,F,32,28,1
23-Jun-22,4,2,2,F,30,26,1
23-Jun-22,4,3,1,F,34,28,0
23-Jun-22,4,3,2,F,34,27,1
23-Jun-22,4,3,3,F,38,30,0
23-Jun-22,4,3,4,F,38,30,1
23-Jun-22,4,4,1,F,31,25,0
23-Jun-22,4,4,2,F,40,31,1
23-Jun-22,4,4,3,F,36,30,1
23-Jun-22,4,4,4,F,30,24,0
23-Jun-22,4,4,5,F,31,24,1
23-Jun-22,4,4,6,F,35,29,1
23-Jun-22,4,5,1,F,30,24,1
23-Jun-22,4,5,2,F,31,24,1
23-Jun-22,4,5,3,F,40,32,0
23-Jun-22,4,5,4,F,31,26,1
23-Jun-22,4,5,5,F,33,26,1
23-Jun-22,4,5,6,F,38,32,0
23-Jun-22,4,5,7,F,26,21,1
23-Jun-22,4,5,8,F,32,25,1
23-Jun-22,4,5,9,F,38,30,0
23-Jun-22,4,5,10,F,25,20,1
23-Jun-22,4,6,1,F,31,27,0
23-Jun-22,4,6,2,F,32,26,1
23-Jun-22,4,6,3,F,36,30,0
23-Jun-22,4,6,4,F,34,29,0
23-Jun-22,4,6,5,F,25,20,1
23-Jun-22,4,6,6,F,27,22,0
23-Jun-22,4,6,7,F,36,28,0
23-Jun-22,4,6,8,F,31,25,0
23-Jun-22,4,6,9,F,36,28,0
23-Jun-22,4,6,10,F,33,26,0
23-Jun-22,4,6,11,F,25,19,0
23-Jun-22,4,6,12,F,32,26,0
23-Jun-22,4,6,13,F,29,26,0
23-Jun-22,4,6,14,F,30,23,0
23-Jun-22,4,6,15,F,35,29,0
23-Jun-22,4,6,16,F,40,32,0
23-Jun-22,5,1,1,F,35,28,1
23-Jun-22,5,2,1,F,38,30,1
23-Jun-22,5,2,2,F,33,25,1
23-Jun-22,5,3,1,F,30,24,1
23-Jun-22,5,3,2,F,32,25,1
23-Jun-22,5,3,3,F,34,28,1
23-Jun-22,5,3,4,F,34,27,1
23-Jun-22,5,4,1,F,31,26,1
23-Jun-22,5,4,2,F,33,26,1
23-Jun-22,5,4,3,F,26,21,1
23-Jun-22,5,4,4,F,31,26,0
23-Jun-22,5,4,5,F,37,29,1
23-Jun-22,5,4,6,F,29,23,1
23-Jun-22,5,5,1,F,39,31,0
23-Jun-22,5,5,2,F,36,29,0
23-Jun-22,5,5,3,F,30,24,0
23-Jun-22,5,5,4,F,34,28,0
23-Jun-22,5,5,5,F,40,33,1
23-Jun-22,5,5,6,F,26,21,1
23-Jun-22,5,5,7,F,29,24,0
23-Jun-22,5,5,8,F,35,29,1
23-Jun-22,5,5,9,F,29,23,1
23-Jun-22,5,5,10,F,38,31,0
23-Jun-22,5,6,1,F,36,31,1
23-Jun-22,5,6,2,F,40,31,0
23-Jun-22,5,6,3,F,26,21,0
23-Jun-22,5,6,4,F,32,27,1
23-Jun-22,5,6,5,F,31,26,0
23-Jun-22,5,6,6,F,30,25,1
23-Jun-22,5,6,7,F,34,28,1
23-Jun-22,5,6,8,F,37,28,0
23-Jun-22,5,6,9,F,29,24,1
23-Jun-22,5,6,10,F,31,25,0
23-Jun-22,5,6,11,F,35,27,0
23-Jun-22,5,6,12,F,32,26,1
23-Jun-22,5,6,13,F,34,30,1
23-Jun-22,5,6,14,F,35,29,0
23-Jun-22,5,6,15,F,32,25,1
23-Jun-22,5,6,16,F,35,31,0
23-Jun-22,6,1,1,F,33,27,0
24-Jun-22,6,2,1,F,34,29,1
24-Jun-22,6,2,2,F,28,22,1
24-Jun-22,6,3,1,F,39,31,0
24-Jun-22,6,3,2,F,31,25,0
24-Jun-22,6,3,3,F,34,29,0
24-Jun-22,6,3,4,F,40,31,0
24-Jun-22,6,4,1,F,40,34,0
24-Jun-22,6,4,2,F,30,22,0
24-Jun-22,6,4,3,F,31,24,0
24-Jun-22,6,4,4,F,28,22,0
24-Jun-22,6,4,5,F,39,31,0
24-Jun-22,6,4,6,F,34,26,0
24-Jun-22,6,5,1,F,38,30,1
24-Jun-22,6,5,2,F,34,27,1
24-Jun-22,6,5,3,F,26,22,1
24-Jun-22,6,5,4,F,40,34,1
24-Jun-22,6,5,5,F,34,29,1
24-Jun-22,6,5,6,F,25,19,1
24-Jun-22,6,5,7,F,31,25,1
24-Jun-22,6,5,8,F,26,20,0
24-Jun-22,6,5,9,F,37,30,0
24-Jun-22,6,5,10,F,30,24,1
24-Jun-22,6,6,1,F,37,30,1
24-Jun-22,6,6,2,F,40,33,0
24-Jun-22,6,6,3,F,28,23,1
24-Jun-22,6,6,4,F,30,24,0
24-Jun-22,6,6,5,F,35,28,0
24-Jun-22,6,6,6,F,26,21,1
24-Jun-22,6,6,7,F,35,36,1
24-Jun-22,6,6,8,F,38,31,1
24-Jun-22,6,6,9,F,28,25,0
24-Jun-22,6,6,10,F,35,29,0
24-Jun-22,6,6,11,F,30,24,0
24-Jun-22,6,6,12,F,29,23,1
24-Jun-22,6,6,13,F,35,29,0
24-Jun-22,6,6,14,F,34,26,0
24-Jun-22,6,6,15,F,40,31,1
24-Jun-22,6,6,16,F,30,23,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
